rank,source,target,weight
504,1299409493,1394418056,1192.0
505,1165190667,1468429258,1191.0
506,1379460623,1499887594,1190.0
507,1178808159,1179877172,1190.0
508,1297050960,1452182434,1190.0
509,1421152883,1498563702,1189.0
510,1291607687,1498563702,1189.0
511,1050051043,1228824558,1188.0
512,1318498635,1356689113,1188.0
513,1247799377,1298838711,1187.0
514,1076659626,1217558273,1186.0
515,1281925776,1301001697,1184.0
516,1175993960,1313424674,1184.0
517,1432858437,1448784685,1179.0
518,1136101857,1364647570,1179.0
519,1319934286,1472934932,1178.0
520,1315159256,1445178585,1178.0
521,1160980171,1452182434,1176.0
522,1117703338,1141304156,1175.0
523,1187433883,1449467014,1175.0
524,1324296045,1329190414,1174.0
525,1202942359,1472934932,1172.0
526,1268722841,1308555684,1171.0
527,1407141072,1417875571,1171.0
528,1112946347,1498471211,1170.0
529,1100373424,1474752835,1170.0
530,1168920372,1238958753,1170.0
531,1283305713,1394418056,1166.0
532,1086777526,1128137142,1166.0
533,1347686776,1351129033,1165.0
534,1238179593,1356689113,1164.0
535,1166191460,1367687086,1163.0
536,1421152883,1433431026,1163.0
537,1210696977,1420473305,1162.0
538,1132192146,1498225294,1160.0
539,1297050960,1428549791,1159.0
540,1115506788,1238546217,1158.0
541,1076659626,1474752835,1158.0
542,1318498635,1432858437,1158.0
543,1297050960,1358214409,1157.0
544,1405404126,1474014038,1155.0
545,1165190667,1181438138,1155.0
546,1213048479,1259272346,1154.0
547,1076456091,1083930081,1154.0
548,1187433883,1394418056,1151.0
549,1173787530,1407939630,1151.0
550,1153531795,1264702019,1150.0
551,1324296045,1499887594,1146.0
552,1318146772,1379442891,1144.0
553,1213048479,1301001697,1142.0
554,1132192146,1293960609,1142.0
555,1252487268,1459864687,1141.0
556,1280744318,1398930775,1141.0
557,1207340583,1397736360,1137.0
558,1297050960,1299409493,1136.0
559,1434498491,1463227236,1136.0
560,1166006430,1298754059,1136.0
561,1319203125,1483531187,1134.0
562,1225390282,1346859778,1134.0
563,1176908416,1204272053,1134.0
564,1238958753,1259272346,1132.0
565,1181438138,1455723818,1132.0
566,1136107199,1379442891,1131.0
567,1319203125,1365370869,1129.0
568,1319934286,1329190414,1128.0
569,1017896480,1302244805,1127.0
570,1327391389,1454859840,1126.0
571,1283305713,1449467014,1126.0
572,1178808159,1446015393,1125.0
573,1324308865,1364591785,1124.0
574,1246439917,1360778863,1123.0
575,1181438138,1405404126,1123.0
576,1209460739,1478339076,1122.0
577,1181438138,1344640500,1121.0
578,1112946347,1196976299,1120.0
579,1168920372,1364647570,1119.0
580,1251576410,1398930775,1119.0
581,1263603146,1358214409,1116.0
582,1182431955,1421152883,1114.0
583,1263603146,1398930775,1111.0
584,1319203125,1474014038,1110.0
585,1260703582,1439843996,1108.0
586,1386099466,1456553533,1107.0
587,1268722841,1299409493,1106.0
588,1159768893,1347059582,1105.0
589,1182431955,1324296045,1105.0
590,1179877172,1280005976,1104.0
591,1398930775,1441931904,1104.0
592,1398930775,1478339076,1104.0
593,1292970947,1361831997,1103.0
594,1160980171,1299214950,1102.0
595,1372089352,1496241044,1099.0
596,1260927058,1269644877,1099.0
597,1386099466,1498225294,1097.0
598,1276716437,1351129033,1096.0
599,1213048479,1233666886,1096.0
600,1454859840,1479224336,1095.0
601,1302365424,1394418056,1095.0
602,1132192146,1247799377,1095.0
603,1238179593,1269644877,1093.0
604,1294262324,1474879162,1092.0
605,1365370869,1411431368,1092.0
606,1327487630,1449467014,1091.0
607,1165190667,1474014038,1090.0
608,1269390275,1358646245,1089.0
609,1266472291,1347686776,1088.0
610,1177133774,1283305713,1088.0
611,1050875121,1101679737,1088.0
612,1306474713,1432858437,1087.0
613,1238179593,1306474713,1086.0
614,1279583117,1325364142,1085.0
615,1100373424,1210696977,1085.0
616,1204272053,1426188428,1083.0
617,1112946347,1245511919,1083.0
618,1187433883,1498563702,1082.0
619,1061284596,1067980827,1082.0
620,1247799377,1299409493,1082.0
621,1259272346,1315706903,1081.0
622,1232248315,1285898695,1080.0
623,1260528478,1483531187,1079.0
624,1358214409,1432858437,1078.0
625,1297914978,1347686776,1077.0
626,1275496039,1307588702,1075.0
627,1238179593,1263603146,1075.0
628,1315706903,1445560740,1074.0
629,1225390282,1449467014,1074.0
630,1400739409,1483531187,1073.0
631,1177133774,1474879162,1072.0
632,1238958753,1297234080,1071.0
633,1165190667,1405404126,1071.0
634,1187433883,1408807671,1071.0
635,1199301455,1263603146,1071.0
636,1386099466,1474879162,1070.0
637,1244405532,1284168593,1069.0
638,1177133774,1291607687,1069.0
639,1180585859,1340239742,1069.0
640,1182431955,1441099496,1069.0
641,1424736458,1444103001,1068.0
642,1281925776,1470051982,1068.0
643,1149082499,1200315662,1067.0
644,1131477230,1217558273,1066.0
645,1259272346,1260703582,1066.0
646,1065863885,1225545520,1066.0
647,1426188428,1454859840,1066.0
648,1295633271,1297162990,1065.0
649,1308555684,1498225294,1065.0
650,1178378693,1358214409,1065.0
651,1294262324,1499887594,1063.0
652,1295156601,1302244805,1062.0
653,1182918476,1421152883,1061.0
654,1155374635,1202942359,1061.0
655,1283305713,1423064351,1060.0
656,1310336110,1445560740,1058.0
657,1178808159,1280744318,1058.0
658,1233666886,1238958753,1057.0
659,1405404126,1455723818,1056.0
660,1233806061,1269390275,1056.0
661,1268722841,1327487630,1055.0
662,1293960609,1472934932,1054.0
663,1286383492,1413819770,1054.0
664,1184145483,1324296045,1052.0
665,1438450410,1472934932,1052.0
666,1266988441,1460341793,1052.0
667,1182431955,1498563702,1052.0
668,1017896480,1295156601,1050.0
669,1112946347,1286383492,1049.0
670,1280005976,1421152883,1049.0
671,1237407412,1258049191,1048.0
672,1190105159,1217341726,1048.0
673,1247799377,1329190414,1048.0
674,1225545520,1332744926,1047.0
675,1329190414,1433431026,1047.0
676,1280744318,1324296045,1047.0
677,1072043059,1112869821,1045.0
678,1303911676,1452153893,1045.0
679,1294695598,1414461620,1045.0
680,1077006331,1276716437,1045.0
681,1344640500,1455723818,1044.0
682,1076659626,1210696977,1044.0
683,1178378693,1268722841,1044.0
684,1217341726,1318146772,1043.0
685,1154587065,1330105875,1042.0
686,1365370869,1449467014,1042.0
687,1363266574,1398930775,1042.0
688,1166191460,1329190414,1041.0
689,1346859778,1446015393,1041.0
690,1269390275,1452153893,1040.0
691,1275496039,1445178585,1040.0
692,1268438293,1324845030,1039.0
693,1294262324,1386099466,1037.0
694,1327487630,1427225152,1037.0
695,1128016156,1433942658,1036.0
696,1299409493,1356689113,1036.0
697,1247799377,1409902227,1035.0
698,1358646245,1445560740,1034.0
699,1184074956,1427225152,1034.0
700,1184074956,1358214409,1034.0
701,1327487630,1441931904,1033.0
702,1247799377,1468429258,1031.0
703,1243891100,1252487268,1031.0
704,1291607687,1409902227,1030.0
705,1155374635,1438450410,1029.0
706,1165190667,1415766367,1029.0
707,1275496039,1445560740,1028.0
708,1178378693,1238179593,1027.0
709,1162141400,1414461620,1027.0
710,1319203125,1455723818,1027.0
