rank,node,degree
638,1366337253,2703
639,1099730057,2702
640,1095788204,2701
641,1004078088,2700
642,1115596139,2699
643,1092569930,2697
644,1288979976,2696
645,1348258972,2693
646,1128076207,2692
647,1060134686,2690
648,1172745432,2689
649,1395482591,2688
650,1129827483,2687
651,1084627915,2686
652,1149554732,2680
653,1115190779,2678
654,1302388250,2677
655,1423066798,2677
656,1369756015,2674
657,1092227494,2669
658,1129289064,2667
659,1315375985,2663
660,1061305572,2662
661,1394029031,2662
662,1388194035,2661
663,1388271987,2661
664,1288695963,2660
665,1101983006,2659
666,1096625806,2658
667,1277360882,2656
668,1308825364,2655
669,1137256094,2654
670,1139499096,2653
671,1022132982,2642
672,1395605499,2638
673,1475005077,2638
674,1129000973,2637
675,1149950920,2637
676,1100806568,2635
677,1140765584,2635
678,1046713735,2631
679,1060889664,2629
680,1097107543,2628
681,1376664485,2628
682,1275319554,2626
683,1308717415,2625
684,1221521329,2622
685,1088002765,2621
686,1064782529,2619
687,1077862081,2619
688,1059685751,2617
689,1289846690,2617
690,1234309797,2612
691,1251635057,2612
692,1079406887,2610
693,1095087641,2610
694,1142936095,2610
695,1239005009,2610
696,1181111085,2608
697,1058395241,2606
698,1378285610,2600
699,1301162588,2597
700,1477872804,2597
701,1058824420,2596
702,1109198782,2595
703,1452218945,2595
704,1329637740,2594
705,1130631435,2593
706,1103484643,2590
707,1066795113,2588
708,1104262472,2587
709,1092251200,2580
710,1259348910,2579
711,1168308025,2576
712,1226747744,2574
713,1140182871,2570
714,1146379074,2569
715,1142071245,2567
716,1247976813,2565
717,1129717308,2562
718,1085743528,2560
719,1262759542,2559
720,1349304051,2559
721,1146306773,2558
722,1366516466,2557
723,1312510334,2556
724,1088665309,2555
725,1115408537,2555
726,1109702461,2554
727,1235345101,2545
728,1078806904,2543
729,1060302647,2542
730,1237727082,2542
731,1267853320,2542
732,1102503333,2539
733,1270569976,2538
734,1311701578,2537
735,1056526080,2535
736,1105712786,2535
737,1337178810,2535
738,1133923782,2532
739,1282381279,2529
740,1137738998,2528
741,1271950286,2526
742,1174056547,2525
743,1139475695,2521
744,1469946385,2520
745,1266886646,2519
746,1089400493,2516
747,1130978914,2511
748,1010918095,2508
749,1134903637,2508
750,1263783021,2508
751,1130194590,2502
752,1265202790,2502
753,1471668294,2500
754,1120523226,2498
755,1254620483,2495
756,1187708447,2484
757,1144536347,2482
758,1134690639,2481
759,1062408326,2477
760,1081207677,2476
761,1090943283,2476
762,1117111612,2476
763,1333872913,2473
764,1083304934,2472
765,1117708176,2471
766,1475845285,2470
767,1090394631,2464
768,1140367701,2464
769,1011739016,2463
770,1084804740,2462
771,1116498906,2460
772,1138777006,2460
773,1292586707,2456
774,1208184485,2454
775,1397795931,2453
776,1106400271,2452
777,1314807802,2451
778,1091969914,2450
779,1361591075,2449
780,1449181861,2449
781,1081263234,2448
782,1442789777,2446
783,1138062371,2445
784,1172388328,2445
785,1032360128,2443
786,1039454809,2442
787,1077807702,2439
788,1417838554,2434
789,1139464017,2433
790,1117231252,2432
791,1374344210,2428
792,1058588028,2426
793,1199328773,2424
794,1416431772,2420
795,1199224429,2416
796,1365275579,2416
797,1382735731,2415
798,1079539944,2414
799,1239165774,2414
800,1128880694,2413
801,1099425910,2410
802,1100305337,2409
803,1106117214,2408
804,1073052606,2406
805,1135138254,2406
